Laser ID,Elevation Angle (°),Azimuth Offset (δ)
0,-25.000000,-1.400000
1,-1.000000,4.200000
2,-1.667000,-1.400000
3,-15.639000,1.400000
4,-11.310000,-1.400000
5,0.000000,1.400000
6,-0.667000,-4.200000
7,-8.843000,1.400000
8,-7.254000,-1.400000
9,0.333000,4.200000
10,-0.333000,-1.400000
11,-6.148000,1.400000
12,-5.333000,-4.200000
13,1.333000,1.400000
14,0.667000,-4.200000
15,-4.000000,1.400000
16,-4.667000,-1.400000
17,1.667000,4.200000
18,1.000000,-1.400000
19,-3.667000,4.200000
20,-3.333000,-4.200000
21,3.333000,1.400000
22,2.333000,-1.400000
23,-2.667000,1.400000
24,-3.000000,-1.400000
25,7.000000,1.400000
26,4.667000,-1.400000
27,-2.333000,4.200000
28,-2.000000,-4.200000
29,15.000000,1.400000
30,10.333000,-1.400000
31,-1.333000,1.400000
32,0.000000,0.000000
33,0.000000,0.000000
34,0.000000,0.000000
35,0.000000,0.000000
36,0.000000,0.000000
37,0.000000,0.000000
38,0.000000,0.000000
39,0.000000,0.000000
40,0.000000,0.000000
41,0.000000,0.000000
42,0.000000,0.000000
43,0.000000,0.000000
44,0.000000,0.000000
45,0.000000,0.000000
46,0.000000,0.000000
47,0.000000,0.000000
48,0.000000,0.000000
49,0.000000,0.000000
50,0.000000,0.000000
51,0.000000,0.000000
52,0.000000,0.000000
53,0.000000,0.000000
54,0.000000,0.000000
55,0.000000,0.000000
56,0.000000,0.000000
57,0.000000,0.000000
58,0.000000,0.000000
59,0.000000,0.000000
60,0.000000,0.000000
61,0.000000,0.000000
62,0.000000,0.000000
63,0.000000,0.000000
